kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
不利				ふり		n	(go terminology)
振り替わり	フリカワリ			ふりかわり		n	(go terminology)
ヘコミ				へこみ		n	(go terminology)
下手	ヘタ			へた		n	(go terminology)
へぼ	ヘボ			へぼ		n	(go terminology)
辺				へん		n	(go terminology)
変化				へんか		n	(go terminology)
包囲				ほうい		n	(go terminology)
方向				ほうこう		n	(go terminology)
帽子	ボウシ			ぼうし		n	(go terminology)
棒ツギ				ぼうつぎ		n	(go terminology)
放り込み	ホウリ込み	ホウリコミ		ほうりこみ		n	(go terminology)
ポカ				ぽか		n	(go terminology)
星	ホシ			ほし		n	(go terminology)
星のシマリ				ほしのしまり		n	(go terminology)
星ワキ				ほしわき		n	(go terminology)
本因坊				ほんいんぼう		n	the Honinbo title
